StudentID,Age,StudyTimeWeekly,Absences,GPA,Gender_1,Ethnicity_1,Ethnicity_2,Ethnicity_3,ParentalEducation_1,ParentalEducation_2,ParentalEducation_3,ParentalEducation_4,Tutoring_1,ParentalSupport_1,ParentalSupport_2,ParentalSupport_3,ParentalSupport_4,Extracurricular_1,Sports_1,Music_1,Volunteering_1,GradeClass_1.0,GradeClass_2.0,GradeClass_3.0,GradeClass_4.0
-1.73132685735645,0.4729190115431414,1.7803355189521382,-0.8908223715622926,1.1180863116664626,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False
-1.7298786542135336,1.362944405415047,0.9973762482121091,-1.7176935833500317,1.2423744574038993,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
-1.7284304510706174,-1.30713177620067,-0.9840451409833825,1.3535423461472853,-1.9602771889382216,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
-1.726982247927701,0.4729190115431414,0.04544516505111627,-0.06395115977455339,0.16178970455436958,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False
-1.7255340447847847,0.4729190115431414,-0.9023114520899039,0.2904222167059063,-0.6755727871499934,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True
-1.7240858416418683,1.362944405415047,-0.27970406053170993,-1.7176935833500317,1.2874787000437125,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
-1.7226376384989521,-1.30713177620067,1.0315125413772945,-0.536448995081833,0.9203101403015941,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False
-1.7211894353560357,-1.30713177620067,1.000161348151086,0.8810445108400057,-0.5967921020958057,True,True,False,False,False,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,True
-1.7197412322131194,0.4729190115431414,-0.9218612895351413,-1.599569124523212,1.0827008929211555,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False
-1.7182930290702032,-0.41710638232876435,1.534518708607826,-1.7176935833500317,1.822243265286167,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
